second,attempted,processed,accepted,rejected,system_failures,executions,trades,processed_rate
0,10000,10000,10000,0,0,10000,5000,10000.00
1,10000,10000,10000,0,0,10000,5000,10000.00
2,10000,10000,10000,0,0,10000,5000,10000.00
3,10000,10000,10000,0,0,10000,5000,10000.00
4,10000,10000,10000,0,0,10000,5000,10000.00
5,10000,10000,10000,0,0,10000,5000,10000.00
6,10000,10000,10000,0,0,10000,5000,10000.00
7,10000,10000,10000,0,0,10000,5000,10000.00
8,10000,10000,10000,0,0,10000,5000,10000.00
9,10000,10000,10000,0,0,10000,5000,10000.00
10,10000,10000,10000,0,0,10000,5000,10000.00
11,10000,10000,10000,0,0,10000,5000,10000.00
12,10000,10000,10000,0,0,10000,5000,10000.00
13,10000,10000,10000,0,0,10000,5000,10000.00
14,10000,10000,10000,0,0,10000,5000,10000.00
15,10000,10000,10000,0,0,10000,5000,10000.00
16,10000,10000,10000,0,0,10000,5000,10000.00
17,10000,10000,10000,0,0,10000,5000,10000.00
18,10000,10000,10000,0,0,10000,5000,10000.00
19,10000,10000,10000,0,0,10000,5000,10000.00
20,10000,10000,10000,0,0,10000,5000,10000.00
21,10000,10000,10000,0,0,10000,5000,10000.00
22,10000,10000,10000,0,0,10000,5000,10000.00
23,10000,10000,10000,0,0,10000,5000,10000.00
24,10000,10000,10000,0,0,10000,5000,10000.00
25,10000,10000,10000,0,0,10000,5000,10000.00
26,10000,10000,10000,0,0,10000,5000,10000.00
27,10000,10000,10000,0,0,10000,5000,10000.00
28,10000,10000,10000,0,0,10000,5000,10000.00
29,10000,10000,10000,0,0,10000,5000,10000.00
30,10000,10000,10000,0,0,10000,5000,10000.00
31,10000,10000,10000,0,0,10000,5000,10000.00
32,10000,10000,10000,0,0,10000,5000,10000.00
33,10000,10000,10000,0,0,10000,5000,10000.00
34,10000,10000,10000,0,0,10000,5000,10000.00
35,10000,10000,10000,0,0,10000,5000,10000.00
36,10000,10000,10000,0,0,10000,5000,10000.00
37,10000,10000,10000,0,0,10000,5000,10000.00
38,10000,10000,10000,0,0,10000,5000,10000.00
39,10000,10000,10000,0,0,10000,5000,10000.00
40,10000,10000,10000,0,0,10000,5000,10000.00
41,10000,10000,10000,0,0,10000,5000,10000.00
42,10000,10000,10000,0,0,10000,5000,10000.00
43,10000,10000,10000,0,0,10000,5000,10000.00
44,10000,10000,10000,0,0,10000,5000,10000.00
45,10000,10000,10000,0,0,10000,5000,10000.00
46,10000,10000,10000,0,0,10000,5000,10000.00
47,10000,10000,10000,0,0,10000,5000,10000.00
48,10000,10000,10000,0,0,10000,5000,10000.00
49,10000,10000,10000,0,0,10000,5000,10000.00
50,10000,10000,10000,0,0,10000,5000,10000.00
51,10000,10000,10000,0,0,10000,5000,10000.00
52,10000,10000,10000,0,0,10000,5000,10000.00
53,10000,10000,10000,0,0,10000,5000,10000.00
54,10000,10000,10000,0,0,10000,5000,10000.00
55,10000,10000,10000,0,0,10000,5000,10000.00
56,10000,10000,10000,0,0,10000,5000,10000.00
57,10000,10000,10000,0,0,10000,5000,10000.00
58,10000,10000,10000,0,0,10000,5000,10000.00
59,10000,10000,10000,0,0,10000,5000,10000.00
