second,attempted,processed,accepted,rejected,system_failures,executions,trades,processed_rate
0,15000,15000,15000,0,0,0,0,15000.00
1,15000,15000,15000,0,0,0,0,15000.00
2,15000,15001,15001,0,0,0,0,15001.00
3,15000,15000,15000,0,0,0,0,15000.00
4,15000,15000,15000,0,0,0,0,15000.00
5,15000,15000,15000,0,0,0,0,15000.00
6,15000,15000,15000,0,0,0,0,15000.00
7,15000,15000,15000,0,0,0,0,15000.00
8,15000,15001,15001,0,0,0,0,15001.00
9,15000,15000,15000,0,0,0,0,15000.00
10,15000,15000,15000,0,0,0,0,15000.00
11,15000,15000,15000,0,0,0,0,15000.00
12,15000,15000,15000,0,0,0,0,15000.00
13,15000,15000,15000,0,0,0,0,15000.00
14,15000,15000,15000,0,0,0,0,15000.00
15,15000,15001,15001,0,0,0,0,15001.00
16,15000,15000,15000,0,0,0,0,15000.00
17,15000,15000,15000,0,0,0,0,15000.00
18,15000,15000,15000,0,0,0,0,15000.00
19,15000,15000,15000,0,0,0,0,15000.00
20,15000,15000,15000,0,0,0,0,15000.00
21,15000,15000,15000,0,0,0,0,15000.00
22,15000,15001,15001,0,0,0,0,15001.00
23,15000,15000,15000,0,0,0,0,15000.00
24,15000,15000,15000,0,0,0,0,15000.00
25,15000,15000,15000,0,0,0,0,15000.00
26,15000,15000,15000,0,0,0,0,15000.00
27,15000,15000,15000,0,0,0,0,15000.00
28,15000,15000,15000,0,0,0,0,15000.00
29,15000,14996,14996,0,0,0,0,14996.00
